,dyad,dtw,ec,engage_mean
0,D001,26.03894522485389,0.0,19.5
1,D001,42.3128249648948,0.0,21.5
2,D001,27.318998344665253,0.0,36.5
3,D001,37.48655772264048,1.0,51.0
4,D001,15.107103566601625,1.0,50.0
5,D001,21.02629682208181,0.0,52.5
6,D001,10.646217605780038,0.0,52.5
7,D001,31.75540184400775,0.0,53.0
8,D001,2.090744364390877,1.0,53.5
9,D001,4.118149521013075,1.0,53.5
10,D001,5.50522993442002,0.0,54.0
11,D001,8.040730072289724,0.0,54.5
12,D001,5.922618865616745,1.0,55.0
13,D001,10.958423827943433,0.0,55.0
14,D001,4.880070793683642,1.0,55.0
15,D001,9.280056684707741,0.0,55.5
16,D001,12.50316004534752,0.0,56.0
17,D001,9.631592624094218,0.0,58.0
18,D001,14.923801367067682,0.0,58.0
19,D001,20.001669150278772,0.0,58.0
20,D001,29.202722810261243,1.0,58.0
21,D001,10.935009850762388,0.0,62.0
22,D001,4.308907799121684,1.0,62.5
23,D001,4.29764090232859,0.0,62.5
24,D001,10.404149958144297,1.0,62.0
25,D001,11.779599465553908,1.0,62.5
26,D001,24.267288920132707,1.0,63.0
27,D001,23.569034804126904,0.0,63.0
28,D001,16.041244013673243,0.0,63.0
29,D001,7.353914636041946,0.0,63.0
30,D001,5.302884194765937,1.0,64.0
31,D001,3.1651498681393684,1.0,64.0
32,D001,3.132726887035899,1.0,64.0
33,D001,10.534215248481349,0.0,64.0
34,D001,19.67306994725491,0.0,64.0
35,D001,3.776075694987738,1.0,63.5
36,D001,8.75995124156893,0.0,63.5
37,D001,4.242763577693486,1.0,63.5
38,D001,4.664967199994684,1.0,63.0
39,D001,13.104503825117789,1.0,63.0
40,D001,62.690916021521545,0.0,65.0
41,D001,17.53639807490689,0.0,69.5
42,D001,27.044848373539114,0.0,72.0
43,D001,51.71483033778091,0.0,73.0
44,D001,45.86405641431779,0.0,73.0
45,D001,32.67900246327188,0.0,71.5
46,D001,15.277840663986114,1.0,73.0
47,D001,27.169847711696693,0.0,73.0
48,D001,18.215213292724247,1.0,73.0
49,D001,7.396545035394274,1.0,75.5
50,D001,3.407288364895336,0.0,77.0
51,D001,14.054794962107918,0.0,76.0
52,D001,6.887554296805048,0.0,74.5
53,D001,14.013358193275636,0.0,74.5
54,D001,4.8047868339089606,0.0,70.0
55,D001,5.844974421280156,0.0,65.0
56,D001,9.79034789923729,0.0,65.0
57,D001,23.326482890158175,0.0,64.5
58,D001,16.77378253355337,1.0,64.0
59,D001,26.147288470316482,1.0,60.0
60,D001,18.09164987779464,0.0,58.0
61,D001,19.51681864281788,1.0,56.0
62,D001,9.847701215195617,1.0,55.0
63,D001,19.993456794590173,0.0,60.0
64,D001,3.4173389516613404,0.0,56.0
65,D001,5.929062635115242,0.0,56.0
66,D001,30.246047292458975,1.0,55.5
67,D001,65.39294554888647,1.0,55.5
68,D001,33.40230887255284,0.0,54.5
69,D001,12.397010977207199,0.0,55.0
70,D001,12.529225188589502,0.0,62.5
71,D001,23.682084807815077,0.0,64.0
72,D001,36.30678775498894,1.0,64.0
73,D001,8.486809937410225,1.0,64.0
74,D001,18.814564699967384,0.0,64.0
75,D001,10.31089332198111,1.0,64.0
76,D001,24.757857956639903,1.0,63.5
77,D001,32.21884396438624,1.0,67.5
78,D001,27.90843993937066,1.0,71.0
79,D001,13.799047096354196,1.0,70.0
80,D001,26.79281123837979,0.0,70.0
81,D001,34.899709759941466,0.0,70.0
82,D001,31.96861184155641,0.0,70.0
83,D001,11.504534422852288,0.0,66.5
84,D001,5.749107279365528,0.0,65.5
85,D001,17.376258772745487,0.0,65.5
86,D001,22.70947820510471,0.0,65.0
87,D001,11.279980820564301,0.0,65.0
88,D001,10.05424742590778,1.0,65.5
89,D001,10.509416791824206,1.0,70.0
90,D001,32.36430851804875,1.0,70.0
91,D001,15.67968971528677,1.0,69.5
92,D001,31.32809606222737,1.0,71.0
93,D001,5.9159472273677665,0.0,72.5
94,D001,4.2777335986355745,0.0,76.0
95,D001,9.091485899374685,0.0,76.0
96,D001,15.111398672094728,0.0,76.0
97,D001,3.6311497737074965,0.0,74.5
98,D001,19.253980102349143,0.0,72.5
99,D001,17.0166501195419,0.0,71.0
100,D001,22.73145906808187,0.0,71.0
101,D001,16.393519844892392,1.0,71.0
102,D001,37.033954605374525,0.0,67.5
103,D001,16.727606165211814,0.0,65.0
104,D001,15.723350387913342,1.0,64.5
105,D001,20.07499532987306,0.0,64.5
106,D001,20.450794561266747,0.0,64.5
107,D001,29.557248630488978,1.0,61.0
108,D001,30.202072183433366,1.0,59.5
109,D001,30.231667626222883,1.0,59.0
110,D001,19.693673331211244,0.0,58.0
111,D001,41.7749115950973,0.0,58.0
112,D001,32.39675577551253,1.0,58.0
113,D001,36.81801372041606,0.0,58.0
114,D001,26.010702372384795,1.0,60.5
115,D001,35.20786009362536,1.0,60.0
116,D001,35.00233691667482,1.0,60.0
117,D001,30.654300434130583,1.0,61.0
118,D001,10.479059614547834,0.0,62.0
119,D001,4.251369626394993,0.0,62.0
120,D001,10.049773104760249,0.0,62.0
121,D001,2.7299458553235603,0.0,62.5
122,D001,12.771004310431678,0.0,68.5
123,D001,16.270312967605843,0.0,71.0
124,D001,17.73252230469206,1.0,71.0
125,D001,17.40949227342535,0.0,71.5
126,D001,1.6885240826608734,1.0,71.5
127,D001,13.83357556836912,1.0,71.5
128,D001,9.025322960196583,0.0,71.5
129,D001,16.195876051892693,0.0,68.5
130,D001,9.339851541063489,0.0,70.5
131,D001,17.40475777817879,0.0,74.0
132,D001,23.97566047172508,0.0,74.0
133,D001,41.123249653609015,0.0,74.0
134,D001,22.987865745168232,0.0,74.0
135,D001,34.9747630859904,1.0,69.0
136,D001,11.727737678361759,0.0,67.0
137,D001,15.021005859675016,1.0,67.0
138,D001,25.96385339389342,0.0,68.0
139,D001,24.449519420047224,0.0,69.0
140,D001,37.18739900195962,0.0,71.5
141,D001,12.436767304511244,0.0,71.0
142,D001,5.847265389627875,0.0,70.5
143,D001,6.691602959481251,1.0,70.0
144,D001,14.103966465348913,1.0,70.0
145,D001,17.90320949469542,1.0,70.0
146,D001,20.475809469786682,1.0,68.5
147,D001,20.111325225079284,1.0,76.0
148,D001,15.80460151191799,0.0,77.5
149,D001,15.633925458109227,0.0,77.5
150,D001,10.255820520267514,1.0,77.5
151,D001,8.516515354351572,1.0,77.5
152,D001,24.515005179655677,1.0,77.5
153,D001,28.244804887750856,0.0,77.5
154,D001,7.886921367474323,1.0,77.5
155,D001,4.654171508482946,1.0,77.5
156,D001,21.400227814816084,1.0,77.5
157,D001,34.86356042109923,0.0,77.5
158,D001,21.70555016492102,0.0,77.5
159,D001,19.32921135875982,0.0,77.0
160,D001,37.458486738580596,0.0,75.5
161,D001,38.937254075178245,0.0,76.0
162,D001,49.00124809342961,0.0,76.0
163,D001,39.1738774875344,1.0,70.0
164,D001,15.877581762411765,1.0,70.0
165,D001,21.5983044425571,0.0,69.5
166,D001,49.657225524110274,0.0,68.5
167,D001,57.26817836463165,0.0,68.5
168,D001,31.808760395862326,0.0,68.5
169,D001,35.53521608109526,0.0,64.5
170,D001,50.880287244411804,0.0,64.0
171,D001,32.3762068878151,0.0,64.5
172,D001,23.508963434286457,0.0,65.0
173,D001,18.837897152745295,0.0,65.5
174,D001,15.378020762292326,1.0,65.5
175,D001,4.258693137187866,1.0,65.5
176,D001,26.02267952930383,1.0,65.5
177,D001,10.570013033785454,1.0,69.0
178,D001,39.95958250029932,1.0,69.5
179,D001,42.53033370195095,1.0,71.0
180,D001,26.599272408342372,1.0,71.5
181,D001,13.418713191246425,1.0,72.5
182,D001,22.33692454378584,0.0,72.5
183,D001,12.664123254760707,1.0,73.0
184,D001,39.54670452274725,0.0,73.0
185,D001,43.04324263823627,0.0,74.0
186,D001,16.110979276937087,0.0,74.0
187,D001,3.6148954882004647,0.0,74.0
188,D001,19.417662984534097,0.0,74.0
189,D001,33.894507181731704,0.0,73.5
190,D001,32.98538533457948,0.0,68.0
191,D001,19.75827556748437,1.0,67.0
192,D001,10.866044320510792,1.0,64.0
193,D001,4.730587063974617,1.0,61.0
194,D001,15.554979372159393,0.0,62.0
195,D001,7.203963931887548,0.0,63.0
196,D001,5.575511552316824,0.0,65.0
197,D001,3.653060660524924,1.0,65.0
198,D001,2.599737805030092,0.0,66.0
199,D001,17.955311020479762,1.0,65.0
200,D001,7.036297769241805,1.0,65.0
201,D001,2.9632581276321766,1.0,64.5
202,D001,6.17029897118022,1.0,63.0
203,D001,35.86223908284955,0.0,68.0
204,D001,62.514712561268794,1.0,69.0
205,D001,36.24112162520286,0.0,69.5
206,D001,28.264720976664492,0.0,69.5
207,D001,39.24359721734742,0.0,70.0
208,D001,93.11461487785965,0.0,71.0
209,D001,83.99937083844705,0.0,71.0
210,D001,54.69259563422365,0.0,71.0
211,D001,4.808065771406266,0.0,71.0
212,D001,35.816112197448675,0.0,70.0
213,D001,15.32769046904206,0.0,67.0
214,D001,5.636868440705237,0.0,67.0
215,D001,10.382229599762121,0.0,62.0
216,D001,14.069289336056483,0.0,60.5
217,D001,26.534388418769623,1.0,59.5
218,D001,20.176129320393766,1.0,59.0
219,D001,21.693166162237265,1.0,59.5
220,D001,15.81401910966017,1.0,62.5
221,D001,19.785699140661055,1.0,61.5
222,D001,26.706471956924982,0.0,62.0
223,D001,22.59666862527856,0.0,62.0
224,D001,27.452969870566033,1.0,62.0
225,D001,32.01468071747932,0.0,62.0
226,D001,19.211193075665726,0.0,62.0
227,D001,68.10814423212176,1.0,62.0
228,D001,49.6350748662795,0.0,62.0
229,D001,23.7721057125684,0.0,62.0
230,D001,25.829974661823776,0.0,62.0
231,D001,16.563671409003604,0.0,61.5
232,D001,23.080479395264778,1.0,60.0
233,D001,23.709811871167616,0.0,53.5
234,D001,20.950912314298453,0.0,53.0
235,D001,15.014203453394963,0.0,53.0
236,D001,8.695906065838013,0.0,54.5
237,D001,25.156885449907353,1.0,61.0
238,D001,17.0221681468246,0.0,61.0
239,D001,3.748794991125531,0.0,65.5
240,D001,22.419960687693525,0.0,79.5
241,D001,40.65888872001868,0.0,86.0
242,D001,18.240710607173035,1.0,86.5
243,D001,2.749889254960393,0.0,86.5
244,D001,11.581430022614235,1.0,87.5
245,D001,5.201529507435527,1.0,87.5
246,D001,12.03376923249334,0.0,87.5
247,D001,24.188640707440143,1.0,88.5
248,D001,9.569059078451065,1.0,87.0
249,D001,14.553322698764092,0.0,87.5
250,D001,23.185600618172334,0.0,87.5
251,D001,12.221681179773187,0.0,87.5
252,D001,16.636096892774727,1.0,87.5
253,D001,12.6686808413704,0.0,87.5
254,D001,13.689816017823105,0.0,87.5
255,D001,19.738725305514812,0.0,82.5
256,D001,30.658975490868645,1.0,82.5
257,D001,24.933249392060212,0.0,82.5
258,D001,7.4745088747568005,1.0,82.5
259,D001,4.702269947639516,0.0,82.0
260,D001,6.478510843951525,1.0,82.0
261,D001,8.046996318744117,0.0,82.5
262,D001,11.754695964453225,0.0,82.5
263,D001,11.640265572324607,0.0,84.5
264,D001,3.1337106396907415,0.0,84.0
265,D001,12.390055386401812,0.0,85.0
266,D001,5.718119808815417,0.0,85.0
267,D001,11.194248096408094,0.0,85.5
268,D001,12.310981740030032,1.0,84.5
269,D001,7.467152437550611,0.0,84.5
270,D001,6.327801979938382,0.0,84.5
271,D001,10.970371471543968,0.0,84.5
272,D001,11.589231606379709,1.0,84.5
273,D001,8.252101310134226,0.0,84.5
274,D001,4.912832001147564,1.0,84.0
275,D001,10.696864276923199,0.0,84.0
276,D001,22.076182114548075,0.0,84.0
277,D001,22.472393033064407,0.0,84.0
278,D001,9.549210440202875,1.0,84.0
279,D001,16.960657830369556,1.0,84.0
280,D001,23.82096800674247,1.0,84.0
281,D001,12.182684815232218,1.0,85.0
282,D001,12.283681547510717,0.0,81.0
283,D001,2.472174485104708,1.0,77.0
284,D001,6.490575029629039,1.0,76.5
285,D001,10.149501674163918,1.0,75.5
286,D001,6.68088184246289,1.0,75.0
287,D001,22.5837111267383,0.0,75.0
288,D001,16.747088779055996,0.0,75.0
289,D001,4.626227370973809,1.0,75.0
290,D001,58.09295351101514,0.0,76.5
291,D001,33.534990866463694,0.0,76.5
292,D001,30.66515470027361,0.0,76.5
293,D001,18.978704355158758,0.0,76.5
294,D001,26.685810127419117,0.0,76.5
295,D001,53.363140841873026,0.0,76.0
296,D001,52.654706670410405,1.0,76.0
297,D001,18.963528991901665,1.0,76.0
298,D001,46.01493476602357,0.0,76.0
299,D001,37.94762953814448,0.0,76.0
300,D001,20.49856475183971,1.0,76.0
301,D001,41.30443230198118,1.0,76.0
302,D001,12.869691363771928,1.0,76.0
303,D001,13.954663279224242,1.0,76.0
304,D001,15.266193857243767,1.0,75.5
305,D001,6.033555990956232,0.0,74.5
306,D001,19.12436348449252,0.0,70.5
307,D001,15.065841902968591,0.0,69.5
308,D001,19.570532501687946,0.0,69.5
309,D001,9.466483210874987,1.0,69.5
310,D001,8.319596012395404,1.0,69.5
311,D001,22.006564976698947,0.0,69.5
312,D001,15.726682417388488,0.0,67.5
313,D001,12.337408577021883,1.0,73.5
314,D001,8.050778145212648,0.0,80.5
315,D001,14.564546339624718,1.0,79.5
316,D001,3.6402882457541597,0.0,80.0
317,D001,4.633983366688039,0.0,80.0
318,D001,13.270585842185703,0.0,80.0
319,D001,26.80945041824661,0.0,80.0
320,D001,14.030973208602916,0.0,80.0
321,D001,11.053510664543463,0.0,80.0
322,D001,44.519855858084654,0.0,81.0
323,D001,34.90807967605887,0.0,81.0
324,D001,16.004576870074143,0.0,81.0
325,D001,16.41328435159582,1.0,81.0
326,D001,21.95555911029859,0.0,81.5
327,D001,23.573647533151043,0.0,81.5
328,D001,31.052060140432097,0.0,81.5
329,D001,32.59884093711304,0.0,81.0
330,D001,20.566672039816027,0.0,76.0
331,D001,17.00803999566612,0.0,70.5
332,D001,15.638065761804361,0.0,68.5
333,D001,11.363774090738204,0.0,64.5
334,D001,9.511577299693798,1.0,59.5
335,D001,30.522740535086808,1.0,58.5
336,D001,22.94546775786149,0.0,59.0
337,D001,28.739488443149348,1.0,64.5
338,D001,6.344174731434927,0.0,72.0
339,D001,2.4579166238465464,1.0,72.5
340,D001,6.462348183923815,0.0,72.5
341,D001,6.663369982278269,1.0,71.0
342,D001,17.614347765794975,1.0,69.0
343,D001,29.382902344176763,0.0,68.0
344,D001,23.44264439165145,1.0,67.5
345,D001,24.39926140086471,0.0,67.5
346,D001,12.737599671627414,1.0,68.5
347,D001,18.602986086917554,0.0,69.0
348,D001,17.35900423980543,0.0,63.0
349,D001,14.545271316620887,0.0,63.0
350,D001,81.0297933281768,1.0,63.5
351,D001,20.407132166480196,1.0,62.0
352,D001,7.013515993363551,0.0,61.0
353,D001,19.670516349689713,0.0,61.0
354,D001,29.689237388164788,1.0,60.5
355,D001,34.04239328726805,1.0,60.5
356,D001,14.77611826826623,0.0,60.5
357,D001,13.438414085064013,0.0,60.5
358,D001,21.77067740740146,0.0,60.5
359,D001,16.662834796165033,1.0,61.0
360,D001,47.57848404195464,1.0,61.0
361,D001,74.81646863980441,1.0,64.5
362,D001,84.4309187679393,1.0,67.0
363,D001,46.87428809544039,0.0,67.5
364,D001,10.11218881055679,0.0,78.0
365,D001,20.32858320507272,0.0,80.0
366,D001,21.765469855144303,0.0,83.0
367,D001,43.83194386265767,0.0,87.0
368,D001,28.46986670817517,1.0,87.5
369,D001,34.99340750992822,1.0,86.5
370,D001,36.13198260319082,0.0,87.5
371,D001,24.7379044842327,0.0,87.5
372,D001,36.06048430196142,0.0,87.5
373,D001,18.63489025102689,0.0,87.5
374,D001,4.5590426019152845,1.0,87.0
375,D001,13.497512089672544,0.0,85.0
376,D001,1.1486866000363456,0.0,85.0
377,D001,41.430903387114036,0.0,85.0
378,D001,18.012253633096993,0.0,87.0
379,D001,23.732619705154686,1.0,87.0
380,D001,26.72738926296624,1.0,83.5
381,D001,46.11579181223641,1.0,82.5
382,D001,32.57087712612248,1.0,83.0
383,D001,20.730660191409534,1.0,84.0
384,D001,30.328927470596426,0.0,84.0
385,D001,24.295801313950324,0.0,84.0
386,D001,10.262208262974,0.0,84.0
387,D001,16.42440795142429,1.0,84.0
388,D001,9.444333489779767,1.0,85.0
389,D001,15.565187060506705,0.0,85.5
390,D001,4.046284881905322,1.0,85.0
391,D001,5.247701869720602,1.0,86.0
