,dyad,dtw
0,D001,26.03894522485389
1,D001,42.3128249648948
2,D001,27.318998344665253
3,D001,37.48655772264048
4,D001,15.107103566601625
5,D001,21.02629682208181
6,D001,10.646217605780038
7,D001,31.75540184400775
8,D001,2.090744364390877
9,D001,4.118149521013075
10,D001,5.50522993442002
11,D001,8.040730072289724
12,D001,5.922618865616745
13,D001,10.958423827943433
14,D001,4.880070793683642
15,D001,9.280056684707741
16,D001,12.50316004534752
17,D001,9.631592624094218
18,D001,14.923801367067682
19,D001,20.001669150278772
20,D001,29.202722810261243
21,D001,10.935009850762388
22,D001,4.308907799121684
23,D001,4.29764090232859
24,D001,10.404149958144297
25,D001,11.779599465553908
26,D001,24.267288920132707
27,D001,23.569034804126904
28,D001,16.041244013673243
29,D001,7.353914636041946
30,D001,5.302884194765937
31,D001,3.1651498681393684
32,D001,3.132726887035899
33,D001,10.534215248481349
34,D001,19.67306994725491
35,D001,3.776075694987738
36,D001,8.75995124156893
37,D001,4.242763577693486
38,D001,4.664967199994684
39,D001,13.104503825117789
40,D001,62.690916021521545
41,D001,17.53639807490689
42,D001,27.044848373539114
43,D001,51.71483033778091
44,D001,45.86405641431779
45,D001,32.67900246327188
46,D001,15.277840663986114
47,D001,27.169847711696693
48,D001,18.215213292724247
49,D001,7.396545035394274
50,D001,3.407288364895336
51,D001,14.054794962107918
52,D001,6.887554296805048
53,D001,14.013358193275636
54,D001,4.8047868339089606
55,D001,5.844974421280156
56,D001,9.79034789923729
57,D001,23.326482890158175
58,D001,16.77378253355337
59,D001,26.147288470316482
60,D001,18.09164987779464
61,D001,19.51681864281788
62,D001,9.847701215195617
63,D001,19.993456794590173
64,D001,3.4173389516613404
65,D001,5.929062635115242
66,D001,30.246047292458975
67,D001,65.39294554888647
68,D001,33.40230887255284
69,D001,12.397010977207199
70,D001,12.529225188589502
71,D001,23.682084807815077
72,D001,36.30678775498894
73,D001,8.486809937410225
74,D001,18.814564699967384
75,D001,10.31089332198111
76,D001,24.757857956639903
77,D001,32.21884396438624
78,D001,27.90843993937066
79,D001,13.799047096354196
80,D001,26.79281123837979
81,D001,34.899709759941466
82,D001,31.96861184155641
83,D001,11.504534422852288
84,D001,5.749107279365528
85,D001,17.376258772745487
86,D001,22.70947820510471
87,D001,11.279980820564301
88,D001,10.05424742590778
89,D001,10.509416791824206
90,D001,32.36430851804875
91,D001,15.67968971528677
92,D001,31.32809606222737
93,D001,5.9159472273677665
94,D001,4.2777335986355745
95,D001,9.091485899374685
96,D001,15.111398672094728
97,D001,3.6311497737074965
98,D001,19.253980102349143
