,dyad,subject,dtw,ec,psize
0,D001,S028,26.03894522485389,0.0,0.3509222664975565
1,D001,S028,42.3128249648948,0.0,0.47939717999381504
2,D001,S028,27.318998344665253,0.033,0.4749346474896472
3,D001,S028,37.48655772264048,0.256,0.5588321559396214
4,D001,S028,15.107103566601625,0.35,0.3743855048887841
5,D001,S028,21.02629682208181,0.0,0.4666213640645195
6,D001,S028,10.646217605780038,0.0,0.41214488522796094
7,D001,S028,31.75540184400775,0.085,0.2421469334522032
8,D001,S028,2.090744364390877,1.0,0.21089996601885688
9,D001,S028,4.118149521013075,0.566,0.08580096898110329
10,D001,S028,5.50522993442002,0.0,0.17506193581348783
11,D001,S028,8.040730072289724,0.765,0.020974543471403505
12,D001,S028,5.922618865616745,0.896,0.07121832500568683
13,D001,S028,10.958423827943433,0.746,0.23672719501623005
14,D001,S028,4.880070793683642,0.714,0.06403745291060539
15,D001,S028,9.280056684707741,0.0,0.14009837228703498
16,D001,S028,12.50316004534752,0.0,0.16225890069501087
17,D001,S028,9.631592624094218,0.0,0.0606854113875013
18,D001,S028,14.923801367067682,0.0,0.09592978640884121
19,D001,S028,20.001669150278772,0.936,0.3707470113758325
20,D001,S028,29.202722810261243,0.835,0.4154528518675063
21,D001,S028,10.935009850762388,0.49,0.27202854792075487
22,D001,S028,4.308907799121684,0.725,0.18563933148603073
23,D001,S028,4.29764090232859,0.48,0.14542985661928
24,D001,S028,10.404149958144297,1.0,0.159694895889506
25,D001,S028,11.779599465553908,1.0,0.07297922972244933
26,D001,S028,24.267288920132707,0.211,-0.1953975402792088
27,D001,S028,23.569034804126904,0.0,-0.1636660939952483
28,D001,S028,16.041244013673243,0.0,0.007443196360089129
29,D001,S028,7.353914636041946,0.488,0.05347024401666116
30,D001,S028,5.302884194765937,1.0,-0.05905340024148245
31,D001,S028,3.1651498681393684,1.0,0.04752423297594253
32,D001,S028,3.132726887035899,0.498,0.014778848133427855
33,D001,S028,10.534215248481349,0.0,-0.08688341251257856
34,D001,S028,19.67306994725491,0.094,-0.16960225872815973
35,D001,S028,3.776075694987738,0.721,0.0828984625829668
36,D001,S028,8.75995124156893,0.49,0.11742687974817685
37,D001,S028,4.242763577693486,1.0,0.14277660591690136
38,D001,S028,4.664967199994684,0.883,0.2601370508570668
39,D001,S028,13.104503825117789,0.257,0.28309951607699435
40,D001,S028,62.690916021521545,0.257,0.12504487313415444
41,D001,S028,17.53639807490689,0.0,-0.12480988689092172
42,D001,S028,27.044848373539114,0.0,-0.1620626437040683
43,D001,S028,51.71483033778091,0.0,0.08926090509644437
44,D001,S028,45.86405641431779,0.569,0.22797849051247282
45,D001,S028,32.67900246327188,0.903,0.3227678526906273
46,D001,S028,15.277840663986114,0.394,0.32296943897379116
47,D001,S028,27.169847711696693,0.27,0.29253317747330504
48,D001,S028,18.215213292724247,1.0,-0.008778750492978552
49,D001,S028,7.396545035394274,0.403,0.049238354216926995
50,D001,S028,3.407288364895336,0.0,0.12504170221236768
51,D001,S028,14.054794962107918,0.0,0.14327537786405184
52,D001,S028,6.887554296805048,0.532,-0.11278833521855287
53,D001,S028,14.013358193275636,0.0,-0.13483138003267747
54,D001,S028,4.8047868339089606,0.0,-3.676082637715794e-05
55,D001,S028,5.844974421280156,0.0,0.02558346047494837
56,D001,S028,9.79034789923729,0.217,-0.020769183940172953
57,D001,S028,23.326482890158175,0.7,0.03827452567350872
58,D001,S028,16.77378253355337,1.0,-0.12852480050559614
59,D001,S028,26.147288470316482,0.89,-0.14748989308564783
60,D001,S028,18.09164987779464,0.038,-0.08910719784257326
61,D001,S028,19.51681864281788,1.0,-0.20745056767320785
62,D001,S028,9.847701215195617,0.928,-0.2616195841437911
63,D001,S028,19.993456794590173,0.0,-0.3552228591507028
64,D001,S028,3.4173389516613404,0.0,-0.3385098908233301
65,D001,S028,5.929062635115242,0.702,-0.37556067620183176
66,D001,S028,30.246047292458975,1.0,0.02385727566723964
67,D001,S028,65.39294554888647,0.775,0.32615679616474486
68,D001,S028,33.40230887255284,0.196,0.3345869021204127
69,D001,S028,12.397010977207199,0.0,-0.03440572310533254
70,D001,S028,12.529225188589502,0.0,-0.0035883588132089215
71,D001,S028,23.682084807815077,0.229,-0.15918959783603912
72,D001,S028,36.30678775498894,1.0,-0.358189313938798
73,D001,S028,8.486809937410225,0.173,-0.07746065113043699
74,D001,S028,18.814564699967384,0.747,0.04574021976801531
75,D001,S028,10.31089332198111,1.0,0.015975008354017016
76,D001,S028,24.757857956639903,1.0,-0.12135684080757292
77,D001,S028,32.21884396438624,0.668,-0.06367339189159846
78,D001,S028,27.90843993937066,1.0,0.023848288099349926
79,D001,S028,13.799047096354196,0.411,-0.05351230591119988
80,D001,S028,26.79281123837979,0.0,0.039076712975487184
81,D001,S028,34.899709759941466,0.0,-0.08572016296962068
82,D001,S028,31.96861184155641,0.437,-0.17988442710254274
83,D001,S028,11.504534422852288,0.0,0.03275295388536204
84,D001,S028,5.749107279365528,0.0,0.047494847905918694
85,D001,S028,17.376258772745487,0.494,0.01016852303943756
86,D001,S028,22.70947820510471,0.746,-0.08259082425026755
87,D001,S028,11.279980820564301,0.207,0.16926887717399555
88,D001,S028,10.05424742590778,0.506,0.15576769399001186
89,D001,S028,10.509416791824206,1.0,0.3913137464701147
90,D001,S028,32.36430851804875,1.0,0.4747404494958903
91,D001,S028,15.67968971528677,1.0,0.2687090842834557
92,D001,S028,31.32809606222737,0.16,0.32080483865238085
93,D001,S028,5.9159472273677665,0.0,-0.07664196715784666
94,D001,S028,4.2777335986355745,0.67,0.043389379908336655
95,D001,S028,9.091485899374685,0.0,0.1824674829501181
96,D001,S028,15.111398672094728,0.0,0.028242199661434226
97,D001,S028,3.6311497737074965,0.0,0.007826413634715776
98,D001,S028,19.253980102349143,0.0,-0.2530864414872411
99,D001,S028,17.0166501195419,0.0,-0.26204114239231235
100,D001,S028,22.73145906808187,0.638,-0.2044166716571654
101,D001,S028,16.393519844892392,0.876,-0.045855145372166804
102,D001,S028,37.033954605374525,0.0,-0.1672152088391328
103,D001,S028,16.727606165211814,0.481,-0.059960435903968115
104,D001,S028,15.723350387913342,0.978,-0.042861431560839595
105,D001,S028,20.07499532987306,0.42,-0.1267145483685555
106,D001,S028,20.450794561266747,0.086,-0.21372775154004386
107,D001,S028,29.557248630488978,1.0,-0.34900633008009213
108,D001,S028,30.202072183433366,1.0,-0.23282658215875524
109,D001,S028,30.231667626222883,0.615,-0.16912526402604733
110,D001,S028,19.693673331211244,0.0,0.01098587146294987
111,D001,S028,41.7749115950973,0.283,-0.2597659391484665
112,D001,S028,32.39675577551253,0.044,-0.3886770835874779
113,D001,S028,36.81801372041606,0.738,-0.30038364714138094
114,D001,S028,26.010702372384795,1.0,-0.34480527311099973
115,D001,S028,35.20786009362536,1.0,-0.3431076104189096
116,D001,S028,35.00233691667482,0.296,-0.2881232379647116
117,D001,S028,30.654300434130583,0.96,-0.2234856505505766
118,D001,S028,10.479059614547834,0.0,-0.22943000894048998
119,D001,S028,4.251369626394993,0.0,-0.3788328406272076
120,D001,S028,10.049773104760249,0.0,-0.5641694542732019
121,D001,S028,2.7299458553235603,0.0,-0.3658928468697627
122,D001,S028,12.771004310431678,0.0,-0.17916687718506843
123,D001,S028,16.270312967605843,0.948,-0.334840015658027
124,D001,S028,17.73252230469206,0.038,-0.18906070468738642
125,D001,S028,17.40949227342535,0.488,-0.1672469459213667
126,D001,S028,1.6885240826608734,0.523,0.1296398044268369
127,D001,S028,13.83357556836912,0.839,0.07370755924048768
128,D001,S028,9.025322960196583,0.35,0.15426987527826166
129,D001,S028,16.195876051892693,0.573,0.04035720522723367
130,D001,S028,9.339851541063489,0.045,0.03488191713909775
131,D001,S028,17.40475777817879,0.0,-0.07108411347779266
132,D001,S028,23.97566047172508,0.0,-0.3949398359984004
133,D001,S028,41.123249653609015,0.0,-0.41498389589924983
134,D001,S028,22.987865745168232,0.908,-0.033996314711224086
135,D001,S028,34.9747630859904,0.044,0.14563933008002533
136,D001,S028,11.727737678361759,0.235,0.1348316822365146
137,D001,S028,15.021005859675016,0.343,-0.17639807918156947
138,D001,S028,25.96385339389342,0.0,-0.16559506939381724
139,D001,S028,24.449519420047224,0.133,-0.21832627502928217
140,D001,S028,37.18739900195962,0.0,-0.5748619153223246
141,D001,S028,12.436767304511244,0.0,0.028982566892545067
142,D001,S028,5.847265389627875,0.98,0.17182180249463574
143,D001,S028,6.691602959481251,1.0,0.11788798352580518
144,D001,S028,14.103966465348913,1.0,0.021833181579640693
145,D001,S028,17.90320949469542,0.704,0.04404856031583902
146,D001,S028,20.475809469786682,1.0,-0.03175975072367545
147,D001,S028,20.111325225079284,0.263,-0.029496299369836568
148,D001,S028,15.80460151191799,0.217,0.01617167915454525
149,D001,S028,15.633925458109227,0.367,0.13023987895531267
150,D001,S028,10.255820520267514,1.0,0.15929997561582843
151,D001,S028,8.516515354351572,1.0,0.04250079083369348
152,D001,S028,24.515005179655677,0.713,0.07274696936323219
153,D001,S028,28.244804887750856,0.77,0.10618256600381347
154,D001,S028,7.886921367474323,1.0,0.20545307195499826
155,D001,S028,4.654171508482946,1.0,0.026194927571054905
156,D001,S028,21.400227814816084,0.835,-0.08332779038380049
