,dyad,time,onset,offset
0,D001,-4,0.23227022974949185,-0.9114239415535335
1,D001,-3,0.7629355439936956,1.3943648278053067
2,D001,-2,-0.5336661064485491,-0.6991351839766577
3,D001,-1,0.8101595206277862,0.94071050070391
4,D001,0,0.8511633623136403,-0.05615259154446178
5,D001,1,-0.6167171555063607,-0.7990342817362985
6,D001,2,1.0092093271983666,1.7086051284137609
7,D001,3,-0.22423779811108865,-0.6382225520085387
8,D001,4,-2.291116923816975,-0.9397119061035274
9,D002,-4,-0.06478891428025207,0.7651390627464538
10,D002,-3,-1.0331410407960897,-0.43887683515452286
11,D002,-2,-0.43435597839111123,1.41768829647148
12,D002,-1,-0.5845464808779766,1.0777329767238613
13,D002,0,0.5224095792209553,-0.3299852718850878
14,D002,1,-0.3619771831177045,-1.608350510961583
15,D002,2,-1.059668668423336,0.43859743499366344
16,D002,3,0.6947415964087679,0.141767111637374
17,D002,4,2.3213270902567564,-1.4637122645716476
18,D003,-4,1.7490668096216622,1.2199753805390972
19,D003,-3,-0.6341784561535949,-1.9164735486895959
20,D003,-2,-1.2837587755347464,-0.746296361362644
21,D003,-1,-0.8179755279846748,-0.4002220114020913
22,D003,0,0.8888091709987245,0.795928327736742
23,D003,1,-0.8621371575961092,-0.9801775221051572
24,D003,2,1.2722771077021626,0.992067293417619
25,D003,3,-0.0540541133689031,0.456820971395011
26,D003,4,-0.2580490576844815,0.5783774704710408
27,D004,-4,-0.5418697017316602,-0.1752561475695026
28,D004,-3,2.1059058992155397,-1.4906481526335027
29,D004,-2,0.5090900580958196,-1.6087711543746308
30,D004,-1,-1.465854317007695,0.5002830373609575
31,D004,0,-1.1850953326937494,0.8897748312513293
32,D004,1,0.5253651251020844,0.10868484731297028
33,D004,2,0.3544384367919946,1.6319227097097142
34,D004,3,-0.07367926489284542,0.5366407869438934
35,D004,4,-0.22830090287949084,-0.3926307580012071
36,D005,-4,-1.2160048857501116,0.6980251291876614
37,D005,-3,-1.239690227368768,1.7627139232173759
38,D005,-2,-0.7168115195871855,1.1981905887258506
39,D005,-1,1.599875713562262,-0.0756388178178363
40,D005,0,1.426140605846879,-1.5078764725978622
41,D005,1,0.6442780672888471,-0.8261058827259584
42,D005,2,-0.6208461129177775,-0.08748989196976088
43,D005,3,0.24738715363722752,-0.17747989073641782
44,D005,4,-0.12432879471138052,-0.9843386852830579
45,D006,-4,0.4144971309095567,1.5323189535872055
46,D006,-3,0.8053830959751509,1.0639933746526653
47,D006,-2,-0.24886450496663962,-1.5597881706816041
48,D006,-1,0.5067130991227615,-1.189382645572721
49,D006,0,0.21382497219854882,-1.0359484568777022
50,D006,1,-1.3558673684532212,0.3443886297461981
51,D006,2,-1.8462466402411823,0.03856953959635227
52,D006,3,1.6000399292444765,0.6807463097562945
53,D006,4,-0.08947971378947213,0.12510246579333353
54,D007,-4,-1.9120401298893885,-0.8028041426263121
55,D007,-3,-0.0905668955188919,-0.5710664818942663
56,D007,-2,-0.12249066343653062,0.40226423292494196
57,D007,-1,-1.3856442119500152,1.426201593464628
58,D007,0,0.4392908453257181,0.43190211463709627
59,D007,1,1.1146096209385534,-0.915879455767449
60,D007,2,0.2679681186350513,-1.6184541452870074
61,D007,3,1.327966299922479,0.17929792901347788
62,D007,4,0.36090701597303504,1.4685383555348868
63,D008,-4,-1.164775459966978,2.0006032985776274
64,D008,-3,-1.6530048747270987,1.0415373434528552
65,D008,-2,0.9216413770934948,-0.10152279725123473
66,D008,-1,1.0661894189284953,-1.332957539242409
67,D008,0,-0.11307943519593429,-0.20970514855456496
68,D008,1,-0.13525464564584985,-0.7457999223573475
69,D008,2,-0.6341517054930247,-1.1758513363807495
70,D008,3,1.5721938396220814,0.31548936818351386
71,D008,4,0.140241485384819,0.20820673357230046
72,D009,-4,-0.9662801063527587,0.5243888409840968
73,D009,-3,1.077122609257625,0.018713376452404038
74,D009,-2,1.2102445867279463,1.6906102812658346
75,D009,-1,0.024410409069298703,0.8921817135999695
76,D009,0,1.652554882040745,-0.3044839995048184
77,D009,1,-0.8553002719684436,-1.3554627816814913
78,D009,2,-0.36108879674064515,0.76899889177618
79,D009,3,-0.5297233470038003,-1.278210731188529
80,D009,4,-1.251939965029956,-0.9567355917036335
81,D010,-4,-1.2441707458371367,-0.1571291330472024
82,D010,-3,-1.0594993980831162,0.26052551083884234
83,D010,-2,-0.9106832818939504,1.9623593244191728
84,D010,-1,0.11268838956921369,1.12299480937268
85,D010,0,1.928672116855602,-0.8052001409246777
86,D010,1,1.299269543731652,-0.32876502823089504
87,D010,2,0.10417987898895396,-0.3267632889326655
88,D010,3,-0.2604374780336911,-0.015710558951187194
89,D010,4,0.029980974702476793,-1.712311494544058
90,D011,-4,0.5200692078454472,0.9909598714841366
91,D011,-3,1.6061857272977291,1.4379636231159594
92,D011,-2,0.43196904637730754,0.26858601175279156
93,D011,-1,0.5574688206829261,-0.14556740892036638
94,D011,0,0.7876359231910118,-2.0453601560485013
95,D011,1,-0.31680730707639415,-0.6626119406598296
96,D011,2,-1.4145001201554899,0.9074616556534213
97,D011,3,-1.6207725672937887,-0.12217425367474867
98,D011,4,-0.5512487308687386,-0.6292574027028536
99,D012,-4,1.1458969859777484,0.09884805137309803
100,D012,-3,1.6196385912031157,-0.8172355554369434
101,D012,-2,-0.30974071772179923,1.01522892766281
102,D012,-1,-0.6892798191532247,1.7759162599359137
103,D012,0,-0.35075607716602747,0.10022390910569662
104,D012,1,-0.4136481662382933,0.3335588320340977
105,D012,2,0.4669582230857704,-1.836018222194408
106,D012,3,0.4699110977766018,-0.7939099435898574
107,D012,4,-1.93898011776391,0.12338774110959266
108,D013,-4,-0.953664732807092,-2.324422030630776
109,D013,-3,-0.8233148246188838,1.0275612653209762
110,D013,-2,0.22222013646296715,0.7460026700747932
111,D013,-1,-1.691670813111994,0.8041702965845764
112,D013,0,1.0296799292585341,-0.013813413580558896
113,D013,1,1.480509845186315,0.31320715158191115
114,D013,2,-0.11503723498907152,-0.8398926487032295
115,D013,3,-0.23535425683546007,-0.35290585242581207
116,D013,4,1.0866319514546638,0.640092561778133
117,D014,-4,0.09842063690810626,2.0305057441810463
118,D014,-3,-0.6035859004815173,0.6933935503914352
119,D014,-2,-1.1214481256203328,-1.196270554796435
120,D014,-1,0.9561659268628514,-0.9332406590437949
121,D014,0,0.5226273217453664,0.24241002897692052
122,D014,1,-1.0457975710225011,-0.22497418132340097
123,D014,2,1.6776400002159468,-0.3160353548829734
124,D014,3,-1.2801950455394753,-1.1073865089980732
125,D014,4,0.7961727569315489,0.8115979354952754
126,D015,-4,-1.0714464903591974,-1.5638338397408635
127,D015,-3,-0.9862987620654651,0.812470734508575
128,D015,-2,1.486225399387958,0.38634005017993966
