,dyad,subject,ind_ec
695,D001,S029,1.0
696,D001,S029,0.0
697,D001,S029,0.0
698,D001,S029,0.0
699,D001,S029,0.0
700,D001,S029,0.0
701,D001,S029,1.0
702,D001,S029,0.0
703,D001,S029,0.0
704,D001,S029,1.0
705,D001,S029,0.0
706,D001,S029,0.0
707,D001,S029,1.0
708,D001,S029,1.0
709,D001,S029,1.0
710,D001,S029,0.0
711,D001,S029,0.0
712,D001,S029,1.0
713,D001,S029,0.0
714,D001,S029,1.0
715,D001,S029,1.0
716,D001,S029,1.0
717,D001,S029,1.0
718,D001,S029,0.0
719,D001,S029,0.0
720,D001,S029,0.0
721,D001,S029,0.0
722,D001,S029,0.0
723,D001,S029,0.0
724,D001,S029,1.0
725,D001,S029,0.0
726,D001,S029,1.0
727,D001,S029,1.0
728,D001,S029,1.0
729,D001,S029,1.0
730,D001,S029,1.0
731,D001,S029,0.0
732,D001,S029,0.0
733,D001,S029,0.0
734,D001,S029,0.0
735,D001,S029,1.0
736,D001,S029,0.0
737,D001,S029,1.0
738,D001,S029,1.0
739,D001,S029,1.0
740,D001,S029,0.0
741,D001,S029,1.0
742,D001,S029,1.0
743,D001,S029,1.0
744,D001,S029,1.0
745,D001,S029,1.0
746,D001,S029,1.0
747,D001,S029,1.0
748,D001,S029,1.0
749,D001,S029,1.0
750,D001,S029,1.0
751,D001,S029,1.0
752,D001,S029,1.0
753,D001,S029,0.0
754,D001,S029,1.0
755,D001,S029,1.0
756,D001,S029,1.0
757,D001,S029,0.0
758,D001,S029,0.0
759,D001,S029,0.0
760,D001,S029,0.0
761,D001,S029,0.0
762,D001,S029,0.0
763,D001,S029,1.0
764,D001,S029,1.0
765,D001,S029,0.0
766,D001,S029,0.0
767,D001,S029,0.0
768,D001,S029,0.0
769,D001,S029,0.0
770,D001,S029,0.0
771,D001,S029,1.0
772,D001,S029,1.0
773,D001,S029,1.0
774,D001,S029,1.0
775,D001,S029,1.0
776,D001,S029,1.0
777,D001,S029,1.0
778,D001,S029,1.0
779,D001,S029,1.0
780,D001,S029,1.0
781,D001,S029,1.0
782,D001,S029,0.0
783,D001,S029,1.0
784,D001,S029,0.0
785,D001,S029,0.0
786,D001,S029,0.0
787,D001,S029,0.0
788,D001,S029,0.0
789,D001,S029,0.0
790,D001,S029,0.0
791,D001,S029,1.0
792,D001,S029,1.0
793,D001,S029,1.0
794,D001,S029,1.0
795,D001,S029,1.0
796,D001,S029,1.0
797,D001,S029,1.0
798,D001,S029,1.0
799,D001,S029,1.0
800,D001,S029,1.0
801,D001,S029,1.0
802,D001,S029,1.0
803,D001,S029,1.0
804,D001,S029,1.0
805,D001,S029,0.0
806,D001,S029,0.0
807,D001,S029,0.0
808,D001,S029,0.0
809,D001,S029,0.0
810,D001,S029,0.0
811,D001,S029,0.0
812,D001,S029,0.0
813,D001,S029,0.0
814,D001,S029,0.0
815,D001,S029,0.0
816,D001,S029,0.0
817,D001,S029,1.0
818,D001,S029,1.0
819,D001,S029,1.0
820,D001,S029,1.0
821,D001,S029,1.0
822,D001,S029,0.0
823,D001,S029,0.0
824,D001,S029,1.0
825,D001,S029,0.0
826,D001,S029,1.0
827,D001,S029,1.0
828,D001,S029,0.0
829,D001,S029,0.0
830,D001,S029,0.0
831,D001,S029,0.0
832,D001,S029,1.0
833,D001,S029,0.0
834,D001,S029,0.0
835,D001,S029,0.0
836,D001,S029,1.0
837,D001,S029,1.0
838,D001,S029,1.0
839,D001,S029,0.0
840,D001,S029,0.0
841,D001,S029,1.0
842,D001,S029,1.0
843,D001,S029,0.0
844,D001,S029,1.0
845,D001,S029,1.0
846,D001,S029,0.0
847,D001,S029,1.0
848,D001,S029,1.0
849,D001,S029,1.0
850,D001,S029,1.0
851,D001,S029,0.0
852,D001,S029,1.0
853,D001,S029,0.0
854,D001,S029,0.0
855,D001,S029,0.0
856,D001,S029,1.0
857,D001,S029,1.0
858,D001,S029,1.0
859,D001,S029,1.0
860,D001,S029,1.0
861,D001,S029,1.0
862,D001,S029,1.0
863,D001,S029,1.0
864,D001,S029,0.0
865,D001,S029,1.0
866,D001,S029,1.0
867,D001,S029,1.0
868,D001,S029,1.0
869,D001,S029,1.0
870,D001,S029,1.0
871,D001,S029,1.0
872,D001,S029,1.0
873,D001,S029,1.0
874,D001,S029,1.0
875,D001,S029,1.0
876,D001,S029,1.0
877,D001,S029,1.0
878,D001,S029,1.0
879,D001,S029,1.0
880,D001,S029,1.0
881,D001,S029,1.0
882,D001,S029,0.0
883,D001,S029,1.0
884,D001,S029,1.0
885,D001,S029,1.0
886,D001,S029,1.0
887,D001,S029,0.0
888,D001,S029,0.0
889,D001,S029,1.0
890,D001,S029,0.0
891,D001,S029,0.0
892,D001,S029,1.0
893,D001,S029,0.0
894,D001,S029,1.0
895,D001,S029,1.0
896,D001,S029,1.0
897,D001,S029,1.0
898,D001,S029,1.0
899,D001,S029,1.0
900,D001,S029,1.0
901,D001,S029,1.0
902,D001,S029,1.0
903,D001,S029,1.0
904,D001,S029,1.0
905,D001,S029,1.0
906,D001,S029,0.0
907,D001,S029,0.0
908,D001,S029,0.0
909,D001,S029,1.0
910,D001,S029,1.0
911,D001,S029,0.0
912,D001,S029,1.0
913,D001,S029,1.0
914,D001,S029,0.0
915,D001,S029,1.0
916,D001,S029,1.0
917,D001,S029,0.0
918,D001,S029,0.0
919,D001,S029,0.0
920,D001,S029,1.0
921,D001,S029,0.0
922,D001,S029,0.0
923,D001,S029,0.0
924,D001,S029,0.0
925,D001,S029,1.0
926,D001,S029,0.0
927,D001,S029,0.0
928,D001,S029,0.0
929,D001,S029,0.0
930,D001,S029,0.0
