,dyad,time,onset,offset
0,D001,-4,0.6291350696557741,0.28662765530858225
1,D001,-3,1.3724905960717197,1.2941400518342339
2,D001,-2,0.6512806591720884,0.10373889290787426
3,D001,-1,1.0043280080345427,0.9866692641123852
4,D001,0,0.3385511057960359,0.8089128934117688
5,D001,1,-0.2961680825385905,-0.37370623822617677
6,D001,2,-0.680911475990285,0.1858670249354323
7,D001,3,-1.328587947605985,-1.5727367100671312
8,D001,4,-1.6901179325952966,-1.7195128342169685
9,D002,-4,,
10,D002,-3,,
11,D002,-2,,
12,D002,-1,,
13,D002,0,,
14,D002,1,,
15,D002,2,,
16,D002,3,,
17,D002,4,,
18,D003,-4,1.1288833462685293,0.44680085412005965
19,D003,-3,1.526280092021769,-1.1473278090555914
20,D003,-2,0.358709404187094,1.3820805743323201
21,D003,-1,0.12702102223418543,0.9193655298013024
22,D003,0,0.303933694836932,-0.53577171071561
23,D003,1,-1.394954197071154,-1.7282534745173777
24,D003,2,0.21824940888509597,0.7997711687293065
25,D003,3,-0.589456696835676,0.5663895004778535
26,D003,4,-1.6786660745267754,-0.7030546331722631
27,D004,-4,0.80299301240315,1.4243438054393072
28,D004,-3,1.6705372753947498,-0.5207147268021379
29,D004,-2,0.4686713971423115,-2.092235335405559
30,D004,-1,-1.720345629191588,0.5879199039938341
31,D004,0,-1.528700857057034,0.5145948840533778
32,D004,1,-0.022601749470630244,0.44646386028939206
33,D004,2,0.17564085104504906,0.5794987148585959
34,D004,3,0.1276498524054183,0.13643351874573612
35,D004,4,0.026155847328577952,-1.076304625172536
36,D005,-4,-1.5519716565438502,1.1588210744475929
37,D005,-3,-1.7022398358368003,1.5620814047664513
38,D005,-2,-0.24189035020300415,0.6888452485100571
39,D005,-1,0.7043946426586251,0.16118134082717783
40,D005,0,1.3939430320659656,0.5041473903675118
41,D005,1,1.0353407435113766,-0.6745648905248961
42,D005,2,-0.07502833848079009,-1.3969387217591938
43,D005,3,0.32540731993877897,-1.1579209010822977
44,D005,4,0.11204444288969954,-0.845651945552412
45,D006,-4,-0.009431979002051321,1.9334604342765722
46,D006,-3,0.2584325708419375,0.4171125375343126
47,D006,-2,1.471305997413824,-0.3492711944663355
48,D006,-1,0.8903888870396756,-1.1576394940237948
49,D006,0,0.37454285399588555,-1.4962736587903998
50,D006,1,-0.024061658698072644,-0.3674588690309164
51,D006,2,-1.2086000638455092,-0.4366352219658056
52,D006,3,0.314982472583061,0.7361536054278912
53,D006,4,-2.0675590803287576,0.7205518610384856
54,D007,-4,-1.0343939245488485,-1.3658644786036358
55,D007,-3,-0.0267716447687334,-0.7401529978009892
56,D007,-2,-0.4572015772228143,0.014911344122942852
57,D007,-1,-1.6267149265503629,1.5048934418600943
58,D007,0,-0.45877308676267464,1.374092139132641
59,D007,1,0.412356579718171,-0.11742111920121892
60,D007,2,0.1336320030104619,-1.38094064433777
61,D007,3,1.5141761637689486,-0.0055597553563001565
62,D007,4,1.5436904133558538,0.716042070184239
63,D008,-4,-0.41092425552795636,1.9391924877077993
64,D008,-3,-1.27230126331468,1.3017079688698903
65,D008,-2,0.7478439224664457,-0.1726609176693168
66,D008,-1,1.9166707677605543,-1.3433410285790064
67,D008,0,0.747868637322018,0.0719875815050244
68,D008,1,-0.20816492197736594,-0.9952812888784631
69,D008,2,-0.8557918595971956,-0.5568846657587218
70,D008,3,0.510971458347471,0.3105835698980968
71,D008,4,-1.1761724854792897,-0.5553037070952972
72,D009,-4,,
73,D009,-3,,
74,D009,-2,,
75,D009,-1,,
76,D009,0,,
77,D009,1,,
78,D009,2,,
79,D009,3,,
80,D009,4,,
81,D010,-4,-0.7621785185507656,0.018778960311157132
82,D010,-3,-1.039644220041723,0.31157116447466165
83,D010,-2,-1.0501634270051614,1.358751215209447
84,D010,-1,-0.4760137339024083,0.6749846510849109
85,D010,0,1.9114568244066676,-0.4191189323724969
86,D010,1,1.2118342135077698,0.14766459409554844
87,D010,2,0.5677132014072184,1.0881396706654667
88,D010,3,-0.6807004252638973,-1.307017477841612
89,D010,4,0.31769608544229877,-1.873753845627089
90,D011,-4,0.1845033465330894,0.5710874614664112
91,D011,-3,0.5218758536215278,1.6036796154638664
92,D011,-2,-0.4804699215583828,0.2274128714184386
93,D011,-1,1.1212611109147876,0.662471224473959
94,D011,0,1.3940307976226411,-1.887686927951867
95,D011,1,0.1658908803300231,-1.3109987193527766
96,D011,2,-1.1710963892008295,0.4823563055381348
97,D011,3,-1.9534418462047416,-0.03985747110805465
98,D011,4,0.21744616794189117,-0.30846435994812005
99,D012,-4,,
100,D012,-3,,
101,D012,-2,,
102,D012,-1,,
103,D012,0,,
104,D012,1,,
105,D012,2,,
106,D012,3,,
107,D012,4,,
108,D013,-4,,
109,D013,-3,,
110,D013,-2,,
111,D013,-1,,
112,D013,0,,
113,D013,1,,
114,D013,2,,
115,D013,3,,
116,D013,4,,
