,dyad,between,during
0,D001,-1.2322865229393054,1.5949986708846748
1,D001,0.9418620195029508,0.20845417115949794
2,D001,0.7815836072643539,-1.128831628941162
3,D001,1.7951951375770783,-1.1590397649563375
4,D001,-0.5353966573000435,1.3179428801597028
5,D001,0.09675504887403864,-0.8461681483920493
6,D001,0.23991782025720998,0.7526400574872054
7,D001,-0.7061058773043895,0.1308281149466377
8,D001,-1.3815245759318888,-0.87082435234817
9,D002,0.21924351119534816,-1.0012936691886387
10,D002,-1.4622645110444834,-0.5916668785999454
11,D002,-0.5822979578883481,-0.18626198300734284
12,D002,-1.1142279041151941,0.9398930189683465
13,D002,1.5364532163803553,-0.8966931662846563
14,D002,-0.3678860641637174,0.6228584918209601
15,D002,-0.4714329203203824,-1.0165275136872873
16,D002,1.1031065044615396,0.007463234864998821
17,D002,1.1393061254948669,2.12222846511357
18,D003,1.0124116136689827,1.1827410408526158
19,D003,-0.8937375646205215,0.36826305389696257
20,D003,-0.8440342352700958,-0.37675678645454774
21,D003,0.9065798578249931,-1.5159289657116974
22,D003,1.7028109080148057,-1.0909745467178011
23,D003,-1.2177017074106855,1.780022077080874
24,D003,0.39956897345475395,0.34765957070647935
25,D003,-0.017251263710055923,-0.7376525883784141
26,D003,-1.0486465819521833,0.042627144725526096
27,D004,0.3324089445148069,-1.2769572511168699
28,D004,1.5456371924288799,1.8797725542503934
29,D004,-0.07500509897264455,0.865395516225817
30,D004,-1.7166116514061038,-0.5098730748007272
31,D004,-0.6387244970958469,-1.3317540675289736
32,D004,0.8865466473152805,-0.4059381239226663
33,D004,1.1212676340171357,-0.4007698070355479
34,D004,-0.8650285912541716,0.7158350349694309
35,D004,-0.5904905795473505,0.4642892189591371
36,D005,0.1569543803220724,-0.7357278100239572
37,D005,-1.4769497368335887,-0.8613565503801062
38,D005,-1.1114760686073022,-0.625635607259853
39,D005,-0.21683057339354608,2.0618123342540904
40,D005,1.8007347198433237,0.9875647217316204
41,D005,1.1202937853946608,0.6324343683600528
42,D005,0.6303192867346927,-1.2944747009494284
43,D005,-0.7746624146662667,-0.012279567734034713
44,D005,-0.12838337879404893,-0.15233718799837268
45,D006,0.0004677853007086232,2.060360274469424
46,D006,0.5091827806029359,0.8207777256539991
47,D006,-0.03904278651444647,-0.8067686575982083
48,D006,0.9458589868788254,0.6907995265597242
49,D006,1.3346046062386958,-0.4587982228481793
50,D006,-1.0326590240877898,-0.39702203417766346
51,D006,-1.4571063474213501,-1.3412808546423107
52,D006,1.060922779524946,-0.84289552850693
53,D006,-1.3222287805225341,0.2748277710901378
54,D007,-1.2910002210411464,-1.1373901849760704
